Countries,Average latitude (º),Annual insolation (W.h/m2.day),Energy (kcal/day),Protein (g/day),Fats (g/day),Carbohydrates (g/day),Animal Products + (kcal/day),Animal Fats (kcal/day),Bovine Meat (kcal/day),"Butter, Ghee (kcal/day)",Cheese (kcal/day),Eggs (kcal/day),"Fats, Animals, Raw (kcal/day)","Fish, Seafood (kcal/day)",Freshwater Fish (kcal/day),Honey (kcal/day),Meat (kcal/day),Milk - Excluding Butter (kcal/day),"Milk, Whole (kcal/day)",Mutton & Goat Meat (kcal/day),"Offals, Edible (kcal/day)",Pelagic Fish (kcal/day),Pigmeat (kcal/day),Poultry Meat (kcal/day),Vegetal Products + (kcal/day),Alcoholic Beverages (kcal/day),Apples (kcal/day),Bananas (kcal/day),Beans (kcal/day),Cereals - Excluding Beer (kcal/day),Coconut Oil (kcal/day),Coffee (kcal/day),Fruits - Excluding Wine (kcal/day),Nuts (kcal/day),Olive Oil (kcal/day),Palm Oil (kcal/day),Potatoes (kcal/day),Pulses (kcal/day),Rice (Milled Equivalent) (kcal/day),Rice (Paddy Equivalent) (kcal/day),Roots & Tuber Dry Equiv (kcal/day),Soyabean Oil (kcal/day),Starchy Roots (kcal/day),Sugar & Sweeteners (kcal/day),Sugar (Raw Equivalent) (kcal/day),"Sugar, Raw Equivalent (kcal/day)","Sugar, Refined Equiv (kcal/day)",Vegetable Oils (kcal/day),Vegetables (kcal/day),Wheat (kcal/day),Wine (kcal/day),Gross national income per capita (PPP international $),Population annual growth rate (%),Population in urban areas (%),"Population median age (years), 2006","Population proportion over 60 (%), 2006","Population proportion under 15 (%), 2006",Total fertility rate (per female),Per capita recorded alcohol consumption (litres of pure alcohol) among adults (>=15 years),Population with sustainable access to improved drinking water sources (%) rural,Population with sustainable access to improved drinking water sources (%) total,Population with sustainable access to improved drinking water sources (%) urban,Population with sustainable access to improved sanitation (%) rural,Population with sustainable access to improved sanitation (%) total,Population with sustainable access to improved sanitation (%) urban,"Prevalence of current tobacco use among adults (>=15 years) (%) both sexes, 2005","Prevalence of current tobacco use among adults (>=15 years) (%) female, 2005","Prevalence of current tobacco use among adults (>=15 years) (%) male, 2005","Mean total cholesterol, men (mg/dl), 2005","Mean total cholesterol, female (mg/dl), 2005","Diabetes crude prevalence, adults aged 20 to 79 (%)","Systolic blood pressure, adults aged 15 and above, men (mmHg)","Systolic blood pressure, adults aged 15 and above, female (mmHg)","Obesity prevalence, men (%)","Obesity prevalence, female (%)",Adult mortality rate (probability of dying between 15 to 60 years per 1000 population) both sexes,Adult mortality rate (probability of dying between 15 to 60 years per 1000 population) female,Adult mortality rate (probability of dying between 15 to 60 years per 1000 population) male,"Age-standardized mortality rate for cancer (per 100 000 population), 2002","Age-standardized mortality rate for cardiovascular diseases (per 100 000 population), 2002","Age-standardized mortality rate for injuries (per 100 000 population), 2002","Age-standardized mortality rate for non-communicable diseases (per 100 000 population), 2002",Healthy life expectancy (HALE) at birth (years) both sexes,Healthy life expectancy (HALE) at birth (years) female,Healthy life expectancy (HALE) at birth (years) male,Incidence of tuberculosis (per 100 000 population per year),Infant mortality rate (per 1 000 live births) both sexes,Infant mortality rate (per 1 000 live births) female,Infant mortality rate (per 1 000 live births) male,Life expectancy at birth (years) both sexes,Life expectancy at birth (years) female,Life expectancy at birth (years) male,"Maternal mortality ratio (per 100 000 live births), 2005","Neonatal mortality rate (per 1 000 live births), 2004",Prevalence of tuberculosis (per 100 000 population),Under-5 mortality rate (probability of dying by age 5 per 1000 live births) both sexes,Under-5 mortality rate (probability of dying by age 5 per 1000 live births) female,Under-5 mortality rate (probability of dying by age 5 per 1000 live births) male,"Years of life lost to communicable diseases (%), 2002","Years of life lost to non-communicable diseases (%), 2002",countries
Albania,41,325.7,2860,96,86,425.5,813,49,62,11,50,22,38,8,1,2,196,524,465,33,13,5,52,48,2059,35,17,11,28,1299,0,1,129,8,17,0,57,30,68,68,57,2,57,193,187,191,187,174,94,1166,6,4810,0.6,44,29,13,26,2.25,2.01,95.5,97,98.5,90,93,97.5,22.4,4,40.5,202.8,198.9,3.8,128.8,125.1,18.6,23.8,143,108,176.5,154,537,64,814,61,63,59,22,18.5,17,19.5,70,72.5,67.5,92,9,32,21,19.5,22,17,63,Albania
Argentina,-34,352.9,2980,94,100,426,823,72,342,28,90,24,42,10,1,1,475,222,127,8,17,1,34,83,2135,102,26,19,1,1050,1,1,86,2,2,0,80,9,41,41,100,43,100,406,337,405,337,311,51,914,59,8210,1,89.5,29,14,26,2.4,8.4,79,96,98,78.5,90,91.5,30,25.4,34.6,210.6,206.7,5.4,119.9,119.2,29.13333333,28.4,130,89,170.5,142,212,52,521,65,68,62,44,15.5,14,17.5,74.5,78,71.5,77,10,54,18.5,16,20,18,66,Argentina
Australia,-27,376.1,3120,107,134,371.5,1033,124,142,62,107,23,61,30,3,8,492,331,172,97,30,7,107,143,2100,152,18,20,1,719,16,3,121,31,34,112,85,9,91,91,87,17,87,423,407,415,407,435,67,559,39,30390,1.2,87.5,37,18,19,1.8,9.02,100,100,100,100,100,100,24.8,21.8,27.7,214.5,214.5,6.2,118.2,124.7,22.06666667,23.3,70.5,51,89.5,127,140,35,362,73,74,71,6,5,4.5,6,81,83,78,4,3,6,6,5.5,6.5,5,77,Australia
Austria,47.33,298,3740,111,162,459.5,1219,320,59,102,193,49,200,21,6,12,488,336,131,6,2,9,358,60,2512,278,67,15,3,891,11,7,168,39,13,15,113,6,51,51,113,89,113,437,404,424,404,442,61,617,55,30920,0.5,66,40,22,16,1.4,11.08,100,100,100,100,100,100,43.3,40.1,46.4,210.6,214.5,9.6,128.4,122.1,20.1,20.36666667,87,57,115.5,127,204,38,406,71,74,69,13,4.5,3.5,4.5,79,82,76,4,3,10,5,4.5,5.5,3,83,Austria
Bangladesh,24,384.7,2200,48,25,445.75,65,5,5,3,0,3,2,19,17,0,12,22,21,3,1,0,0,3,2127,0,0,6,2,1802,5,0,13,2,0,52,36,40,1598,1598,42,48,42,59,29,59,29,131,10,180,0,980,1.9,24,22,6,35,3.1,0,77.5,79.5,85.5,29,34,49.5,25.6,3.8,47,159.9,167.7,3.9,116.9,117.3,0.1,0.133333333,254,258,251,111,428,101,762,54,53,55,232,59,52.5,65,62,62.5,62,570,36,457,80.5,76,85,60,28,Bangladesh
Belarus,53,271.2,2960,87,99,430.25,766,140,103,65,18,47,71,24,2,2,295,242,168,1,15,10,154,34,2118,108,31,3,0,1017,7,0,54,12,0,0,317,0,52,52,317,20,317,288,279,285,279,237,62,608,6,6550,-0.5,71.5,38,18,15,1.2,5.53,99.5,100,100,96.5,92.5,91,42.6,21.1,63.7,234,206.7,6.9,134.2,134.2,16.2,32.2,246.5,128,360,143,592,154,839,61,65,57,60,7.5,6.5,9,69,75,63,18,3,69,10,9,11.5,7,68,Belarus
Belgium,50.83,281.7,3640,92,162,453.5,1120,404,54,119,165,45,246,0,0,4,286,376,117,13,7,0,137,74,2513,204,21,1,6,783,78,8,72,47,29,61,151,19,43,43,151,112,151,522,488,517,488,545,124,718,54,29440,0.4,97,41,22,17,1.6,10.63,100,100,100,100,100,100,27.1,24.1,30.1,214.5,214.5,4.2,127.2,118.9,12.03333333,9.5,93,64.5,120.5,148,162,45,427,71,73,69,14,4.5,4,4.5,78.5,81.5,76,8,2,11,5.5,5,6,5,80,Belgium
Bolivia,-17,400.8,2220,57,58,367.5,397,73,113,1,6,11,72,4,1,0,247,47,36,14,12,2,49,66,1822,39,3,88,2,830,0,3,166,28,0,0,102,24,207,207,168,11,168,282,280,282,280,207,46,387,0,3240,2,63.5,21,7,38,3.85,3.23,65.5,84,95,20.5,41,53,31.7,29.2,34.1,195,195,4.8,124,119.4,13.03333333,30.23333333,219.5,188,252.5,256,260,80,824,54,55,54,215,56.5,53.5,59,64.5,65.5,62.5,290,24,285,72.5,71.5,73.5,55,34,Bolivia
Bosnia and Herzegovina,44,312.8,2710,72,58,475,344,24,32,10,36,13,12,7,1,2,84,206,162,5,7,4,29,17,2323,165,15,16,31,1278,0,3,75,12,1,0,134,46,12,12,134,9,134,251,237,249,237,153,107,529,3,5390,0.4,44.5,38,19,17,1.3,9.05,97,98,99.5,92.5,95.5,99,42.3,35.1,49.3,198.9,198.9,9.6,130.1,130.7,13.8,21.5,114,75.5,154,121,492,43,699,64,66,62,55,13.5,11,15.5,74.5,77.5,72,3,10,62,16,13,18.5,7,81,Bosnia and Herzegovina
Brazil,-10,411.6,3060,83,93,472.75,675,55,130,9,2,24,46,10,4,0,378,198,192,3,7,1,102,141,2470,73,4,53,162,995,0,2,112,2,2,20,28,165,371,371,129,251,129,550,529,549,529,321,29,388,2,7310,1.4,83,27,9,28,2.35,5.76,57.5,90,96.5,37,75.5,83.5,0,0,0,191.1,202.8,5.2,123.7,119.1,7.5,16.1,184,127.5,239,142,341,81,712,60,62,57,55,23,20.5,25.5,71,74,67.5,110,13,72,25,22.5,27,30,50,Brazil
